epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,291.626,1.9032,2.70062,1.83285,0.36821,0.19105,0.13433,0.06728,1.87235,3.38693,1.87507,0.0400662,0.0066575,0.0066575
3,424.58,1.81698,2.6073,1.76535,0.48293,0.23578,0.20188,0.11182,1.7385,2.36313,1.74887,0.0100581,0.0099827,0.0099827
4,572.642,1.78406,2.48848,1.70505,0.4496,0.22925,0.17097,0.08475,1.72261,2.37698,1.73775,0.00997803,0.00997803,0.00997803
5,719.3,1.6798,2.3065,1.6484,0.62786,0.27811,0.28148,0.16909,1.49783,2.09136,1.58148,0.00996097,0.00996097,0.00996097
1,599.096,1.55045,2.8128,1.44912,0.30993,0.09246,0.03644,0.02101,2.85632,165.051,3.50213,0.0702703,0.0033033,0.0033033
6,847.752,1.64089,2.2299,1.61154,0.5273,0.26311,0.26331,0.15904,1.51832,2.14026,1.58143,0.00993906,0.00993906,0.00993906
7,984.843,1.58184,2.11457,1.56973,0.4958,0.29035,0.30215,0.19226,1.38674,1.91368,1.48324,0.00991232,0.00991232,0.00991232
8,1124.97,1.54457,2.08269,1.55817,0.51507,0.33913,0.34068,0.20848,1.40523,1.80323,1.47043,0.00988079,0.00988079,0.00988079
9,1268.92,1.48914,1.9982,1.49476,0.46392,0.35774,0.34806,0.22711,1.34538,1.7612,1.42655,0.00984449,0.00984449,0.00984449
10,1429.54,1.44202,1.89377,1.45432,0.5981,0.33914,0.3893,0.25721,1.25831,1.56844,1.36555,0.00980345,0.00980345,0.00980345
2,1227.12,1.79708,2.5476,1.6614,0.14985,0.25312,0.08627,0.04426,1.97776,11.3183,1.96692,0.0402686,0.00663502,0.00663502
11,1590.34,1.43599,1.84866,1.45719,0.45517,0.41479,0.39041,0.25272,1.26919,1.67777,1.37976,0.00975773,0.00975773,0.00975773
12,1802.76,1.39878,1.85057,1.43307,0.60137,0.38746,0.41819,0.26075,1.25567,1.64135,1.36178,0.00970736,0.00970736,0.00970736
13,2013.99,1.35562,1.73962,1.41208,0.59165,0.38657,0.42452,0.27848,1.17058,1.58198,1.32365,0.00965239,0.00965239,0.00965239
14,2272.51,1.37981,1.75227,1.41937,0.6224,0.36001,0.41202,0.28097,1.21758,1.57639,1.34919,0.00959289,0.00959289,0.00959289
3,2174.52,1.79997,2.51157,1.66647,0.22276,0.23205,0.14459,0.07295,1.81218,3.75982,1.81154,0.0102605,0.00996023,0.00996023
15,2556.45,1.35386,1.75266,1.40182,0.59866,0.41234,0.44014,0.28703,1.21403,1.65308,1.3479,0.00952889,0.00952889,0.00952889
16,2788.53,1.35898,1.7124,1.40076,0.52227,0.40746,0.42619,0.28152,1.21328,1.48726,1.332,0.00946048,0.00946048,0.00946048
17,3019.04,1.37922,1.72878,1.4171,0.57998,0.42071,0.45872,0.31052,1.20458,1.39746,1.32025,0.00938772,0.00938772,0.00938772
18,3282.96,1.30062,1.57476,1.36657,0.56924,0.37525,0.43015,0.29373,1.21099,1.50869,1.34706,0.00931067,0.00931067,0.00931067
4,3160.12,1.68035,2.27377,1.587,0.34283,0.21235,0.19419,0.11629,1.60131,2.89624,1.56435,0.00997803,0.00997803,0.00997803
19,3583.04,1.29215,1.55694,1.35575,0.64838,0.41209,0.47094,0.31091,1.1989,1.46818,1.29653,0.00922942,0.00922942,0.00922942
20,3890.48,1.28534,1.54,1.35494,0.69047,0.4067,0.46357,0.30733,1.22958,1.40244,1.36442,0.00914405,0.00914405,0.00914405
21,4253.35,1.27969,1.49415,1.34565,0.59006,0.44428,0.46644,0.30374,1.1839,1.49634,1.30782,0.00905463,0.00905463,0.00905463
22,4445.33,1.27381,1.46982,1.34794,0.56916,0.42109,0.47178,0.32841,1.10503,1.31779,1.25113,0.00896127,0.00896127,0.00896127
23,4637.44,1.20484,1.44559,1.30132,0.69244,0.4621,0.52931,0.35786,1.09089,1.23503,1.23226,0.00886404,0.00886404,0.00886404
24,4799.08,1.22578,1.44448,1.30728,0.72611,0.44771,0.52822,0.35486,1.10062,1.25203,1.24357,0.00876305,0.00876305,0.00876305
25,4955.15,1.20192,1.39561,1.29405,0.64339,0.45969,0.51045,0.35199,1.05424,1.20724,1.21562,0.00865839,0.00865839,0.00865839
26,5111.2,1.18161,1.38876,1.28159,0.69857,0.43298,0.50864,0.35471,1.05621,1.28431,1.22659,0.00855018,0.00855018,0.00855018
27,5258.12,1.14831,1.34092,1.25148,0.71041,0.47001,0.5497,0.36197,1.08641,1.19834,1.22286,0.00843851,0.00843851,0.00843851
28,5380.71,1.1656,1.3358,1.26017,0.77023,0.47247,0.5645,0.38033,1.02781,1.12122,1.20713,0.00832349,0.00832349,0.00832349
29,5520.9,1.14059,1.30535,1.2515,0.68834,0.44182,0.52631,0.35512,1.06341,1.21297,1.21244,0.00820525,0.00820525,0.00820525
30,5672.84,1.14699,1.31501,1.2412,0.66746,0.49011,0.53451,0.37834,1,1.13234,1.18201,0.00808389,0.00808389,0.00808389
31,5803.35,1.13394,1.2712,1.23794,0.70216,0.53169,0.58207,0.39572,1.04583,1.10905,1.19778,0.00795954,0.00795954,0.00795954
32,5997.91,1.14198,1.28546,1.23564,0.79585,0.46017,0.5612,0.38481,1.03278,1.12766,1.19975,0.00783231,0.00783231,0.00783231
33,6294.01,1.12699,1.27081,1.23288,0.6631,0.52465,0.56548,0.38162,1.0254,1.12708,1.19417,0.00770234,0.00770234,0.00770234
